"site","region","country","latWeath","longWeath","weathSource","GCAM_commodity","crop","irrigation","nitrogen","tech","model","component","cultivar","baseY"
3,"USA","USA",40.44,255.37,"AgMERRA","Maize","Maize","IRR",999,"hi","RZWQM2","CSM-CERESv4.0","Dekalb 52-59",9674.71335573552
4,"USA","USA",40.1548,256.858,"AgMERRA","Maize","Maize","IRR",999,"hi","RZWQM2","CSM-CERESv4.0","Pioneer Brand 3732",8818.98878820315
9,"USA","USA",42.2,266.4,"Local weather station","Maize","Maize","RFD",200,"hi","DRAINMOD-DSSAT","CERES-Maize, CROPGRO","Missing",9375.68549867645
10,"India","India",22.19,87.19,"AgMERRA","Rice","Rice","IRR",100,"hi","DSSATv4.5","CERES-Rice","IR 36",3786.16852011266
12,"India","India",11,77,"TNAU Observatory","Rice","Rice","IRR",150,"hi","DSSATv4.5.1.023","CERES-RICE","CORH3",5696.83089159793
13,"India","India",11,79.3,"TNAU Observatory/AgMERRA","Rice","Rice","IRR",-99,"lo","DSSATv4.5.1.023","CERES-Rice","Missing",4477.53241857786
14,"India","India",11,77,"TNAU Observatory","Maize","Maize","RFD",30,"lo","DSSATv4.5.1.023","CERES-Maize","CO1",5802.93577664581
16,"India","India",28.2,77.48,"State Climatologist Observations","Wheat","Wheat","IRR",100,"hi","APSIMv6.0","APSIM-Wheat","Sujata",3282.42783392179
18,"EU-15","Belgium",50.583,4.691,"AgMERRA","Wheat","Wheat","RFD",-99,"lo","STICSv6.9","Missing","Julius",8867.36284128544
23,"South America_Southern","Bolivia",-17.11,296.75833,"AgMERRA","Soybeans","Soybeans","RFD",0,"lo","DSSATv4.0.2.0","CROPGRO-Soybean","M Group 10",4934.27587607829
24,"South America_Southern","Bolivia",-17.11,296.75833,"AgMERRA","Maize","Maize","RFD",0,"lo","DSSATv4.0.2.0","CERES-Maize","Suwan 1",3938.01650297863
25,"South America_Southern","Bolivia",-17.11,296.75833,"AgMERRA","Rice","Rice","RFD",0,"lo","DSSATv4.0.2.0","CERES-Rice","BR11",8326.97406412893
26,"South America_Southern","Bolivia",-16.75,297.5,"AgMERRA","Soybeans","Soybeans","RFD",0,"lo","DSSATv4.0.2.0","CROPGRO-Soybean","M Group 10",5122.07022904248
27,"South America_Southern","Bolivia",-16.75,297.5,"AgMERRA","Maize","Maize","RFD",0,"lo","DSSATv4.0.2.0","CERES-Maize","Suwan 1",3574.85721526626
28,"South America_Southern","Bolivia",-16.75,297.5,"AgMERRA","Rice","Rice","RFD",0,"lo","DSSATv4.0.2.0","CERES-Rice","BR11",7983.78977180605
29,"South America_Southern","Bolivia",-16.81667,296.51667,"AgMERRA","Soybeans","Soybeans","RFD",0,"lo","DSSATv4.0.2.0","CROPGRO-Soybean","M Group 10",4925.95998163442
30,"South America_Southern","Bolivia",-16.81667,296.51667,"AgMERRA","Maize","Maize","RFD",0,"lo","DSSATv4.0.2.0","CERES-Maize","Suwan 1",3569.82941274145
31,"South America_Southern","Bolivia",-16.81667,296.51667,"AgMERRA","Rice","Rice","RFD",0,"lo","DSSATv4.0.2.0","CERES-Rice","BR11",7257.03805345782
32,"South America_Southern","Bolivia",-17.6333,297.76667,"AgMERRA","Soybeans","Soybeans","RFD",0,"lo","DSSATv4.0.2.0","CROPGRO-Soybean","M Group 10",4636.05741940816
33,"South America_Southern","Bolivia",-17.6333,297.76667,"AgMERRA","Maize","Maize","RFD",0,"lo","DSSATv4.0.2.0","CERES-Maize","Suwan 1",3600.70001119292
34,"South America_Southern","Bolivia",-17.6333,297.76667,"AgMERRA","Rice","Rice","RFD",0,"lo","DSSATv4.0.2.0","CERES-Rice","BR11",7938.65437602756
35,"South America_Southern","Bolivia",-17.25,296.15917,"AgMERRA","Soybeans","Soybeans","RFD",0,"lo","DSSATv4.0.2.0","CROPGRO-Soybean","M Group 10",4831.65946422557
36,"South America_Southern","Bolivia",-17.25,296.15917,"AgMERRA","Maize","Maize","RFD",0,"lo","DSSATv4.0.2.0","CERES-Maize","Suwan 1",3693.80229185667
37,"South America_Southern","Bolivia",-17.25,296.15917,"AgMERRA","Rice","Rice","RFD",0,"lo","DSSATv4.0.2.0","CERES-Rice","BR11",7335.59039172024
38,"South America_Southern","Bolivia",-15.7,296.9,"AgMERRA","Soybeans","Soybeans","RFD",0,"lo","DSSATv4.0.2.0","CROPGRO-Soybean","M Group 10",4888.58848857345
39,"South America_Southern","Bolivia",-15.7,296.9,"AgMERRA","Maize","Maize","RFD",0,"lo","DSSATv4.0.2.0","CERES-Maize","Suwan 1",3092.51915945472
40,"South America_Southern","Bolivia",-15.7,296.9,"AgMERRA","Rice","Rice","RFD",0,"lo","DSSATv4.0.2.0","CERES-Rice","BR11",5791.5043137346
41,"Canada","Canada",50.257,252.264,"Environment Canada","Wheat","Wheat","RFD",7,"lo","DSSATv4.0, Modified","CERES-Wheat","Lillian",2357.51422549158
42,"Canada","Canada",50.257,252.264,"Environment Canada","Wheat","Wheat","RFD",38,"lo","DSSATv4.0, Modified","CERES-Wheat","Lillian",3396.18708924357
49,"Middle East","Iran",36.85,54.27,"Local IRIMO weather station ","Wheat","Wheat","RFD",100,"hi","SSM-Wheat (Soltani & Sinclair, 2012)","Missing","Kohdasht ",3908.02213073914
50,"Middle East","Iran",36.85,54.27,"Local IRIMO weather station ","Wheat","Wheat","IRR",150,"hi","SSM-Wheat (Soltani & Sinclair, 2012)","Missing","Tajan",6021.92735618948
51,"Middle East","Iran",36.85,54.27,"Local IRIMO weather station ","Soybeans","Soybeans","IRR",0,"lo","SSM-Soybean  (Soltani & Sinclair, 2012)","Missing","Sahar",3842.40923346346
52,"USA","USA",33.058,247.952,"AgMERRA","Wheat","Wheat","IRR",393.1,"hi","APSIMv7.4","APSIM-Wheat","Yecora",4739.92407686962
53,"China","China",41.317,123.783,"AgMERRA","Maize","Maize","RFD",999,"hi","APSIMv6.1","APSIM-Maize","Danyu 13",9345.65104631893
54,"China","China",43.183,124.333,"AgMERRA","Maize","Maize","RFD",999,"hi","APSIMv6.1","APSIM-Maize","Xianyu 335",11194.2149019105
